Doc Id,Sentiment,TFIDF Score,Total_Number_of_Words,Positive_Word_Count-GI,Negative_Word_Count-GI,Neutral_Word_Count-GI,Objective_Word_Count-GI,Unidentified_Word_Count-GI,Positive_Word_Count-Polarity,Negative_Word_Count-Polarity,Neutral_Word_Count-Polarity,Unidentified_Word_Count-Polarity,SNW-Score,Emoticons_Score,Exclamation_Count,HashTag_Score,Adjective_Score,Gi-Score,Polarity-Score,Final-Score,Exclamation_Score,Final_Score_With_SNW,Bi-Gram_Score,Tri-Gram_Score,NewHashTagScore
1,negative,17.705476,8,0,1,3,0,4,0,1,0,7,0,0,0,0,0,-3,-5,-4,0,-2,35.291867,41.970058,0
2,neutral,13.838065,8,0,0,5,0,3,0,1,0,7,0,0,0,0,0,0,-5,-2.5,0,-1.25,19.540151,19.540151,0
3,positive,25.842965,13,2,1,6,1,3,2,2,0,9,-0.125,0,0,0,3.843224416,3,0,1.5,0,0.125,38.929173,38.929173,0
4,objective,24.523854,10,1,0,5,0,4,1,0,0,9,0,0,0,0,1.445199217,3,5,4,0,2,44.390714,49.201214,0
5,negative,16.780223,12,0,0,3,0,9,0,0,0,12,0.125,0,0,0,0,0,0,0,0,0.625,38.956579,38.956579,0
6,objective,20.140974,14,1,0,7,0,6,1,1,0,12,-0.875,0,0,1,1.05521413,3,0,1.5,0,-3.625,56.565195,61.763591,2
7,positive,20.44335,8,0,2,3,1,2,0,2,0,6,-0.375,0,0,0,-0.592887503,-6,-10,-8,0,-5.875,21.835233,21.835233,0
8,objective,18.020661,15,0,0,9,0,6,0,1,0,14,-0.875,0,0,1,0.409007141,0,-5,-2.5,0,-5.625,33.795547,33.795547,1
9,neutral,10.273633,5,0,0,2,0,3,1,0,0,4,0,0,0,0,0,0,5,2.5,0,1.25,14.61617,14.61617,0
10,positive,8.660094,12,0,0,0,0,12,0,0,0,12,0,0,0,1,0,0,0,0,0,0,4.717943,4.717943,1
11,objective,15.16469,16,3,0,8,0,5,3,0,2,11,0.25,0,2,0,1.066901963,9,15,12,1.6,7.25,10.832224,10.832224,0
12,positive,32.804382,13,1,1,7,0,4,0,2,1,10,0,0,3,0,2.401464497,0,-10,-5,-1,-2.5,69.85209,74.134315,0
13,negative,10.868027,13,0,0,9,1,3,1,1,0,11,-0.5,0,0,1,2.814173702,0,0,0,0,-2.5,32.501171,32.501171,2
14,negative,15.939808,12,0,1,8,1,2,0,1,0,11,0.125,0,0,0,1.050237494,-3,-5,-4,0,-1.375,25.822953,25.822953,0
15,neutral,7.022874,5,0,0,2,0,3,0,1,0,4,0,0,0,0,0.927524895,0,-5,-2.5,0,-1.25,11.940223,11.940223,0
16,positive,16.258979,11,0,0,9,0,2,1,1,0,9,0,0,1,1,0,0,0,0,0,0,31.040527,31.040527,1
17,positive,2.729083,3,0,0,2,0,1,0,0,0,3,0,3,0,1,0,0,0,0,0,0,13.636204,13.636204,1
18,positive,14.955731,9,1,0,2,1,5,1,1,1,6,0,0,0,0,0.617555918,3,0,1.5,0,0.75,29.619539,29.619539,0
19,positive,7.534212,7,0,0,4,0,3,1,1,1,4,0,0,2,0,0.927524895,0,0,0,0,0,17.809744,17.809744,0
20,negative,4.381414,17,0,1,5,0,11,0,1,0,16,0.5,0,0,0,-0.25763651,-3,-5,-4,0,0.5,17.169627,17.169627,0
21,negative,10.290015,7,0,1,4,0,2,1,1,1,4,0,0,0,0,0,-3,0,-1.5,0,-0.75,23.949658,28.06803,0
22,positive,7.739765,8,0,0,3,0,5,1,0,0,7,0,0,0,0,0.589370904,0,5,2.5,0,1.25,31.484934,46.680478,0
23,positive,14.098388,6,1,0,3,0,2,1,0,0,5,0,0,1,0,1.445199217,3,5,4,0.266666667,2,19.38555,24.583946,0
24,neutral,23.265463,14,0,0,8,0,6,1,0,1,12,-1.25,0,2,1,0,0,5,2.5,0.333333333,-5,47.014411,47.014411,1
